rl;V(vo);I(RL)
2.151720321931590e+02;5.011622e+00;2.329123e-02
2.161714285714286e+02;5.011624e+00;2.318356e-02
2.171708249496982e+02;5.011626e+00;2.307688e-02
2.181702213279678e+02;5.011628e+00;2.297118e-02
2.191696177062374e+02;5.011630e+00;2.286644e-02
2.201690140845070e+02;5.011631e+00;2.276265e-02
2.211684104627767e+02;5.011633e+00;2.265980e-02
2.221678068410463e+02;5.011635e+00;2.255788e-02
2.231672032193159e+02;5.011637e+00;2.245687e-02
2.241665995975855e+02;5.011638e+00;2.235676e-02
2.251659959758551e+02;5.011640e+00;2.225753e-02
2.261653923541247e+02;5.011642e+00;2.215919e-02
2.271647887323944e+02;5.011643e+00;2.206171e-02
2.281641851106640e+02;5.011645e+00;2.196508e-02
2.291635814889336e+02;5.011647e+00;2.186930e-02
2.301629778672032e+02;5.011649e+00;2.177435e-02
2.311623742454728e+02;5.011650e+00;2.168022e-02
2.321617706237425e+02;5.011652e+00;2.158689e-02
2.331611670020121e+02;5.011653e+00;2.149438e-02
2.341605633802817e+02;5.011655e+00;2.140264e-02
2.351599597585513e+02;5.011657e+00;2.131169e-02
2.361593561368209e+02;5.011658e+00;2.122151e-02
2.371587525150906e+02;5.011660e+00;2.113209e-02
2.381581488933602e+02;5.011662e+00;2.104342e-02
2.391575452716298e+02;5.011663e+00;2.095549e-02
2.401569416498994e+02;5.011665e+00;2.086829e-02
2.411563380281690e+02;5.011666e+00;2.078182e-02
2.421557344064386e+02;5.011668e+00;2.069605e-02
2.431551307847083e+02;5.011669e+00;2.061100e-02
2.441545271629779e+02;5.011671e+00;2.052663e-02
2.451539235412475e+02;5.011672e+00;2.044296e-02
2.461533199195171e+02;5.011674e+00;2.035997e-02
2.471527162977867e+02;5.011675e+00;2.027765e-02
2.481521126760563e+02;5.011677e+00;2.019599e-02
2.491515090543260e+02;5.011678e+00;2.011498e-02
2.501509054325956e+02;5.011680e+00;2.003463e-02
2.511503018108652e+02;5.011681e+00;1.995491e-02
2.521496981891348e+02;5.011683e+00;1.987582e-02
2.531490945674044e+02;5.011684e+00;1.979736e-02
2.541484909456740e+02;5.011685e+00;1.971952e-02
2.551478873239437e+02;5.011687e+00;1.964228e-02
2.561472837022133e+02;5.011688e+00;1.956565e-02
2.571466800804829e+02;5.011690e+00;1.948961e-02
2.581460764587525e+02;5.011691e+00;1.941417e-02
2.591454728370221e+02;5.011693e+00;1.933930e-02
2.601448692152917e+02;5.011694e+00;1.926501e-02
2.611442655935614e+02;5.011695e+00;1.919129e-02
2.621436619718310e+02;5.011696e+00;1.911813e-02
2.631430583501006e+02;5.011698e+00;1.904553e-02
2.641424547283702e+02;5.011699e+00;1.897347e-02
2.651418511066398e+02;5.011701e+00;1.890196e-02
2.661412474849095e+02;5.011702e+00;1.883098e-02
2.671406438631791e+02;5.011703e+00;1.876054e-02
2.681400402414487e+02;5.011704e+00;1.869062e-02
2.691394366197183e+02;5.011706e+00;1.862122e-02
2.701388329979879e+02;5.011707e+00;1.855234e-02
2.711382293762575e+02;5.011708e+00;1.848396e-02
2.721376257545272e+02;5.011710e+00;1.841608e-02
2.731370221327968e+02;5.011711e+00;1.834871e-02
2.741364185110664e+02;5.011712e+00;1.828182e-02
2.751358148893360e+02;5.011713e+00;1.821542e-02
2.761352112676057e+02;5.011714e+00;1.814950e-02
2.771346076458752e+02;5.011715e+00;1.808405e-02
2.781340040241449e+02;5.011717e+00;1.801907e-02
2.791334004024145e+02;5.011718e+00;1.795456e-02
2.801327967806841e+02;5.011719e+00;1.789051e-02
2.811321931589537e+02;5.011721e+00;1.782692e-02
2.821315895372234e+02;5.011722e+00;1.776377e-02
2.831309859154929e+02;5.011723e+00;1.770107e-02
2.841303822937626e+02;5.011724e+00;1.763882e-02
2.851297786720322e+02;5.011725e+00;1.757700e-02
2.861291750503018e+02;5.011726e+00;1.751561e-02
2.871285714285714e+02;5.011727e+00;1.745464e-02
2.881279678068411e+02;5.011729e+00;1.739411e-02
2.891273641851107e+02;5.011730e+00;1.733399e-02
2.901267605633803e+02;5.011731e+00;1.727428e-02
2.911261569416499e+02;5.011732e+00;1.721498e-02
2.921255533199195e+02;5.011733e+00;1.715609e-02
2.931249496981891e+02;5.011734e+00;1.709760e-02
2.941243460764588e+02;5.011735e+00;1.703951e-02
2.951237424547284e+02;5.011736e+00;1.698181e-02
2.961231388329980e+02;5.011737e+00;1.692450e-02
2.971225352112676e+02;5.011739e+00;1.686758e-02
2.981219315895372e+02;5.011740e+00;1.681104e-02
2.991213279678068e+02;5.011741e+00;1.675487e-02
3.001207243460765e+02;5.011742e+00;1.669909e-02
3.011201207243461e+02;5.011743e+00;1.664367e-02
3.021195171026157e+02;5.011744e+00;1.658861e-02
3.031189134808853e+02;5.011745e+00;1.653392e-02
3.041183098591549e+02;5.011746e+00;1.647959e-02
3.051177062374246e+02;5.011747e+00;1.642562e-02
3.061171026156942e+02;5.011748e+00;1.637200e-02
3.071164989939638e+02;5.011749e+00;1.631872e-02
3.081158953722334e+02;5.011750e+00;1.626579e-02
3.091152917505030e+02;5.011751e+00;1.621321e-02
3.101146881287726e+02;5.011752e+00;1.616096e-02
3.111140845070423e+02;5.011753e+00;1.610905e-02
3.121134808853119e+02;5.011754e+00;1.605747e-02
3.131128772635815e+02;5.011755e+00;1.600622e-02
3.141122736418511e+02;5.011756e+00;1.595530e-02
3.151116700201208e+02;5.011757e+00;1.590470e-02
3.161110663983903e+02;5.011758e+00;1.585442e-02
3.171104627766600e+02;5.011759e+00;1.580446e-02
3.181098591549296e+02;5.011760e+00;1.575481e-02
3.191092555331992e+02;5.011761e+00;1.570547e-02
3.201086519114688e+02;5.011762e+00;1.565644e-02
3.211080482897385e+02;5.011763e+00;1.560771e-02
3.221074446680080e+02;5.011764e+00;1.555929e-02
3.231068410462777e+02;5.011765e+00;1.551117e-02
